"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.301596167E0,2.235000535E0,2.704655913E0,-9.024686193E-1,3.622822188E0
2.311677167E0,1.999730504E0,3.127407850E0,-1.401992159E0,3.968020157E0
2.321757167E0,1.282420985E0,2.906080213E0,-9.310217428E-1,3.310091731E0
2.331838167E0,1.431968495E-1,2.531599964E0,-2.705360685E-1,2.550037937E0
2.341919167E0,-8.770838097E-1,2.211345624E0,1.393387835E-2,2.378974491E0
2.352000167E0,-1.637201964E0,2.231979278E0,-1.062731445E-1,2.770100314E0
2.362081167E0,-1.879044265E0,1.553464281E0,-5.364194709E-1,2.496358242E0
2.372161167E0,-1.964890746E0,8.521720397E-1,-9.494317013E-1,2.342736303E0
2.382242167E0,-1.963017299E0,3.616830325E-1,-1.014441045E0,2.239049389E0
2.392323167E0,-1.796730379E0,5.814646661E-2,-1.002051453E0,2.058088477E0
2.402404167E0,-1.459265929E0,-1.325353289E-1,-1.007081739E0,1.777986585E0
2.412484167E0,-1.074025342E0,-2.985120535E-1,-9.521220052E-1,1.466006887E0
2.422565167E0,-7.573030123E-1,-3.836732411E-1,-6.592245213E-1,1.074844164E0
2.432646167E0,-5.367919385E-1,-5.185989118E-1,-1.226389895E-1,7.563932432E-1
2.442727167E0,-4.837056524E-1,-5.898600984E-1,1.810396638E-1,7.840162330E-1
2.452808167E0,-6.746213365E-1,-4.261766517E-1,1.933287569E-1,8.210459758E-1
2.462888167E0,-1.053433495E0,-2.107786757E-1,-1.050639403E-1,1.079438840E0
2.472969167E0,-1.401781660E0,9.395072222E-2,-4.257293397E-1,1.468013634E0
2.483050167E0,-1.643675416E0,5.171289217E-1,-4.744524336E-1,1.787231465E0
2.493131167E0,-1.756664088E0,8.613837433E-1,-6.542671788E-1,2.062987206E0
2.503211167E0,-2.043865580E0,7.468174928E-1,-6.768222284E-1,2.278861822E0
2.513292167E0,-2.088115261E0,1.197306283E0,-1.028362534E0,2.617498268E0
2.523373167E0,-1.784444794E0,1.545636613E0,-1.221670168E0,2.658141036E0
2.533454167E0,-1.532069027E0,1.849935656E0,-9.030387229E-1,2.566120880E0
2.543535167E0,-1.262706220E0,1.907427819E0,-6.211795396E-1,2.370352696E0
2.553615167E0,-9.452781317E-1,1.491300192E0,-5.917620514E-1,1.862178653E0
2.563696167E0,-9.470878449E-1,7.333121789E-1,-5.625921929E-1,1.323341269E0
2.573777167E0,-1.083945436E0,1.633595109E-2,-5.949701263E-1,1.236605847E0
2.583858167E0,-1.046950687E0,-4.541783828E-1,-6.079776961E-1,1.293066365E0
2.593938167E0,-1.032211903E0,-4.916806698E-1,-4.264516170E-1,1.220275491E0
2.604019167E0,-1.048881145E0,-4.181677204E-1,-2.295080383E-1,1.152254242E0
2.614100167E0,-1.040761701E0,-4.722562194E-1,-3.208282444E-1,1.187072710E0
2.624181167E0,-9.765358847E-1,-4.578492647E-1,-3.304401898E-1,1.128024380E0
2.634262167E0,-9.339359951E-1,-5.398862851E-1,-4.206593652E-1,1.157872163E0
2.644342167E0,-9.473714349E-1,-5.920370167E-1,-5.028421274E-1,1.225100269E0
2.654423167E0,-8.902549553E-1,-5.840643382E-1,-5.261757338E-1,1.187664068E0
2.664504167E0,-8.289217561E-1,-6.659832448E-1,-2.536202015E-1,1.093145995E0
2.674585167E0,-7.099817884E-1,-8.741324276E-1,8.549243242E-2,1.129376198E0
2.684665167E0,-4.020332059E-1,-1.113401077E0,3.227353138E-1,1.226968108E0
2.694746167E0,-1.621006054E-1,-1.468127677E0,6.459253947E-1,1.612108897E0
2.704827167E0,9.438517034E-2,-1.810479814E0,7.214867699E-1,1.951227531E0
2.714908167E0,4.547864932E-1,-1.857692572E0,4.140390015E-1,1.956854809E0
2.724988167E0,9.740364924E-1,-1.631847961E0,2.669924913E-1,1.919103918E0
2.735069167E0,1.286638581E0,-1.310758638E0,3.869967985E-1,1.877043838E0
2.745150167E0,1.316013531E0,-1.082825401E0,5.041831863E-1,1.777245945E0
2.755231167E0,1.207537156E0,-1.030812079E0,8.445765066E-1,1.798340624E0
2.765312167E0,1.275861286E0,-1.096511979E0,1.336865287E0,2.148806491E0
2.775392167E0,1.459075018E0,-1.233975341E0,1.648763371E0,2.523889004E0
2.785473167E0,1.613648795E0,-1.478500053E0,1.835131091E0,2.856139170E0
2.795554167E0,1.543790355E0,-1.868633298E0,1.932784270E0,3.100118400E0
2.805635167E0,1.151222622E0,-2.195986158E0,2.021581256E0,3.199134181E0
2.815715167E0,6.213874081E-1,-2.325193836E0,1.899973789E0,3.066357625E0
2.825796167E0,8.824822515E-2,-2.299826860E0,1.353945004E0,2.670235647E0
2.835877167E0,-3.851581416E-1,-2.210353936E0,9.786844441E-1,2.447822411E0
2.845958167E0,-7.469136795E-1,-1.782883295E0,8.466630855E-1,2.110305966E0
2.856039167E0,-1.034130374E0,-7.083065611E-1,8.213487348E-1,1.498578513E0
2.866119167E0,-1.108406093E0,1.270874196E0,5.626839942E-1,1.777722860E0
2.876200167E0,-7.597620589E-1,4.000506490E0,-4.416349357E-1,4.095892086E0
2.886281167E0,-1.219539151E-1,6.511887951E0,-1.968252018E0,6.803938085E0
2.896362167E0,3.744708931E-1,7.804681020E0,-2.691063183E0,8.264084663E0
2.906442167E0,4.511881167E-1,7.373658196E0,-1.658316114E0,7.571289074E0
2.916523167E0,-1.215834939E-1,5.383029175E0,-4.801701334E-1,5.405769973E0
2.926604167E0,-1.821758216E0,1.378568798E0,-2.054389983E-1,2.293787286E0
2.936685167E0,-2.449263274E0,-8.298362607E-1,-7.154290545E-1,2.683161854E0
2.946766167E0,-2.548637289E0,-2.039317616E0,-1.404789906E0,3.553562022E0
2.956846167E0,-2.416929925E0,-2.780987220E0,-2.100547319E0,4.241195494E0
2.966927167E0,-2.040419231E0,-2.977296376E0,-2.382279910E0,4.324680557E0
2.977008167E0,-1.539528027E0,-2.787964702E0,-2.065432158E0,3.795906180E0
2.987089167E0,-1.065517643E0,-2.136051028E0,-1.841843110E0,3.015033645E0
2.997169167E0,-6.179781890E-1,-9.569863039E-1,-2.064078966E0,2.357571167E0
3.007250167E0,-3.057877439E-1,4.190038723E-1,-2.206558508E0,2.266709253E0
3.017331167E0,-9.673311979E-2,1.645126988E0,-2.043007209E0,2.624819719E0
3.027412167E0,-9.463543117E-2,2.282002208E0,-1.949012779E0,3.002522399E0
3.037492167E0,-3.948805994E-1,2.366288068E0,-1.816993905E0,3.009437947E0
3.047573167E0,-8.036471665E-1,2.011572577E0,-1.654171607E0,2.725537875E0
3.057654167E0,-8.583490384E-1,1.262860002E0,-1.424673070E0,2.088365824E0
3.067735167E0,-1.600777611E-1,5.895057571E-1,-1.554392234E0,1.670112914E0
3.077816167E0,4.507902136E-1,5.261617005E-2,-1.198921430E0,1.281948857E0
3.087896167E0,6.876053712E-1,-4.570563823E-1,-8.419084221E-1,1.179199506E0
3.097977167E0,7.524647337E-1,-8.400723964E-1,-8.530855210E-1,1.414100319E0
3.108058167E0,7.656873348E-1,-1.037773774E0,-9.398628791E-1,1.595805042E0
3.118139167E0,7.328911793E-1,-1.074042884E0,-1.184958863E0,1.759211501E0
3.128219167E0,6.986013526E-1,-9.552333087E-1,-1.420367181E0,1.848771877E0
