"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.792508208E0,7.781255320E-1,1.466830180E0,1.986234984E0,2.588860663E0
2.802588208E0,1.111444014E0,7.911990291E-1,2.566970941E0,2.906999056E0
2.812668208E0,1.090804146E0,1.721993315E-1,2.678859751E0,2.897549976E0
2.822748208E0,8.424229040E-1,-2.175614458E-1,2.427548761E0,2.578759842E0
2.832828208E0,3.841621415E-1,-5.320814216E-1,1.971908136E0,2.078247552E0
2.842908208E0,3.359510444E-2,-5.681640047E-1,1.492817399E0,1.597636615E0
2.852987208E0,-1.557361304E-1,-6.134214538E-1,1.139198992E0,1.303193756E0
2.863067208E0,-8.174100503E-2,-5.300325572E-1,8.771454978E-1,1.028105212E0
2.873147208E0,1.501423185E-1,-3.580402172E-1,6.188587797E-1,7.305625928E-1
2.883227208E0,3.422948349E-1,-1.722823620E-2,6.727174830E-1,7.549909788E-1
2.893307208E0,4.617447529E-1,4.274045670E-1,7.681113712E-1,9.929138730E-1
2.903387208E0,4.872652911E-1,5.566403121E-1,7.956751458E-1,1.086450569E0
2.913467208E0,4.764071578E-1,5.961347455E-1,8.515113775E-1,1.143421200E0
2.923547208E0,4.424161237E-1,4.045618343E-1,6.413062406E-1,8.778815401E-1
2.933627208E0,4.190485304E-1,2.114844346E-1,4.890201867E-1,6.778407482E-1
2.943707208E0,4.135438885E-1,6.548881531E-2,2.787777738E-1,5.030152878E-1
2.953787208E0,5.279957528E-1,-6.973623276E-2,2.432441711E-3,5.325866820E-1
2.963866208E0,7.688585722E-1,7.906897366E-2,5.830620524E-2,7.751096827E-1
2.973946208E0,9.249603729E-1,2.450842899E-1,3.724500954E-1,1.026809171E0
2.984026208E0,9.680984987E-1,2.759359539E-1,5.772464848E-1,1.160417536E0
2.994106208E0,9.314916397E-1,1.012562335E-2,5.853098317E-1,1.100166716E0
3.004186208E0,8.253093463E-1,-2.739648575E-1,4.671048224E-1,9.871064661E-1
3.014266208E0,6.914537162E-1,-4.322963476E-1,3.469503880E-1,8.862070556E-1
3.024346208E0,4.290602792E-1,-4.156955177E-1,7.186699469E-2,6.017145100E-1
3.034426208E0,3.589824960E-2,-4.120339912E-1,-3.601732814E-1,5.484391369E-1
3.044506208E0,-1.654980569E-1,-3.216775525E-1,-6.719608533E-1,7.631496859E-1
3.054586208E0,-1.033607925E-1,-4.244219023E-1,-9.178736937E-1,1.016518333E0
3.064665208E0,1.722567073E-1,-2.802576309E-1,-8.415324461E-1,9.035450021E-1
3.074745208E0,3.470720100E-1,1.330416977E-2,-4.281495023E-1,5.513147716E-1
3.084825208E0,3.697967020E-1,1.126594734E-1,8.962263146E-2,3.968299055E-1
3.094905208E0,4.080477981E-1,9.193869531E-2,3.241474164E-1,5.291760357E-1
3.104985208E0,4.515111753E-1,-2.119440258E-2,4.774310052E-1,6.574586747E-1
3.115065208E0,5.098584207E-1,-9.090783119E-2,6.831641185E-1,8.572823664E-1
3.125145208E0,4.977838473E-1,-1.884733021E-1,8.295959401E-1,9.856674734E-1
3.135225208E0,3.982950810E-1,-3.102965319E-1,8.643178761E-1,1.000983666E0
