"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.294677958E0,2.055951190E-1,1.104473548E0,3.547789326E0,3.721416434E0
1.304756958E0,4.791331297E-1,7.852880788E-1,2.343152974E0,2.517262756E0
1.314835958E0,7.956759498E-1,8.609668368E-1,1.002619583E0,1.542598502E0
1.324915958E0,1.334849752E0,9.054530382E-1,-5.504277916E-1,1.704300389E0
1.334994958E0,1.769553690E0,7.788953179E-1,-2.047902205E0,2.816363191E0
1.345073958E0,2.255136591E0,2.183326936E-1,-3.439671970E0,4.118816999E0
1.355153625E0,2.787444008E0,-5.676798552E-1,-3.967642214E0,4.882037408E0
1.365232625E0,3.110725744E0,-1.153313001E0,-3.915917160E0,5.132363270E0
1.375311625E0,3.115638867E0,-1.324023047E0,-3.652303044E0,4.979915672E0
1.385391625E0,3.076526549E0,-1.121063853E0,-3.052447422E0,4.476520416E0
1.395470625E0,2.976980626E0,-7.401130754E-1,-2.304962762E0,3.837060639E0
1.405549625E0,2.825037219E0,-5.504826093E-1,-2.053314388E0,3.535529150E0
1.415628625E0,2.835017539E0,-8.764403236E-1,-1.921114397E0,3.534989761E0
1.425708625E0,2.881188323E0,-1.826408799E0,-1.503141389E0,3.727794159E0
1.435787625E0,3.000450765E0,-2.756185085E0,-9.302575117E-1,4.179071674E0
1.445866625E0,3.289149729E0,-3.540701916E0,-3.799079266E-1,4.847618594E0
1.455946625E0,3.584244669E0,-4.145226831E0,-2.821877968E-1,5.487198309E0
1.466025625E0,3.665328594E0,-4.628838344E0,-4.396667629E-1,5.920649033E0
1.476104625E0,3.680138714E0,-4.701342648E0,-8.074689066E-1,6.024786277E0
1.486184625E0,3.582381162E0,-4.494319639E0,-1.097310124E0,5.851192470E0
1.496263625E0,3.109860941E0,-4.266662976E0,-1.146014214E0,5.402684203E0
1.506342625E0,2.291600997E0,-4.041707726E0,-1.121607352E0,4.779627550E0
1.516422625E0,1.339514368E0,-3.800169187E0,-9.257876077E-1,4.134327912E0
1.526501625E0,7.658215284E-1,-3.716807773E0,-5.958005771E-1,3.841369672E0
1.536580625E0,2.793241230E-1,-3.968248571E0,-6.059031039E-2,3.978528606E0
1.546660625E0,-2.522886443E-1,-4.233418631E0,6.627187443E-1,4.292397815E0
1.556739625E0,-9.513753158E-1,-4.193885606E0,1.758138171E0,4.645948912E0
1.566818625E0,-1.940811328E0,-3.703312399E0,2.772939697E0,5.017017630E0
1.576897625E0,-2.901609432E0,-2.856094120E0,3.766511444E0,5.546460076E0
1.586977625E0,-3.526894594E0,-1.662592036E0,4.485919529E0,5.943624464E0
1.597056625E0,-3.508651573E0,-1.793773735E-1,4.586982220E0,5.777821215E0
1.607135625E0,-2.521935101E0,8.216823184E-1,3.850413142E0,4.675574815E0
1.617215625E0,-8.276049632E-1,1.165246584E0,2.390936421E0,2.785553184E0
